"id","start","skip","-","0","+"
"2","и вот 22","0","0","0.7186043858528137","0.24509501457214355"
"3","Сегодня по радиоСегодня по радио","0","0","0.7718535065650940","0.2227101624"
"4","На выставке","0.20182321965694427","0.4921981394290924","0",
"5","День ясный","0","0.2568419873714447","0.320831298828125","0"
"6","До СССР","0","0.23371636867523193","0.4765896201133728","0"
"7","22","0","0.38492217659950256","0.287777841091156","0"
