positive,negative,neutral
0,1.0000003385357559e-05,1.0000100135803223
0,0.20690405368804932,0.4378334879875183
0,0.2689514458179474,0.607673168182373
0,0.20690405368804932,0.320831298828125
0,0.275139719247818,0.3140605390071869
0,0.38492217659950256,0
0.20182321965694427,0.3702353835105896,0
0,0.3276783227920532,0
0,0.30736804008483887,0.275139719247818
0,0.23935934901237488,0.5312193632125854
0,0.5156299471855164,0.320831298828125
0,0.16027602553367615,0.771853506565094
0,0.2568419873714447,0.26285186409950256
0,0.2814156115055084,0.7826725244522095
0,0.4921981394290924,0.2689514458179474
0,0.275139719247818,0.2689514458179474
0,1.0000003385357559e-05,0.38492217659950256
0,1.0000003385357559e-05,0.320831298828125
0,0.348655104637146,1.0000100135803223
0,0.23935934901237488,1.0000100135803223
0,0.22271016240119934,0.24509501457214355
0,0.23371636867523193,0.3998216390609741
0,0.26285186409950256,0
0,0.1824355274438858,0.38492217659950256
0,1.0000003385357559e-05,0
0,1.0000003385357559e-05,0.3629792034626007
0,1.0000003385357559e-05,0.3140605390071869
0,0.287777841091156,0.5000100135803223
